ItemID,Postcode
1,NP4 5AA
2,S10 1WJ
3,BD22 6LJ
4,N5 2ES
5,TQ12 5BW
6,S7 2BJ
7,WR9 9JD
8,S10 1WJ
9,NP4 5AA
10,TQ2 7QL
11,NP4 5AA
12,DA12 2BD
13,S10 1WJ
14,TQ12 5BW
15,NP4 5AA
16,S7 2BJ
17,TQ2 7QL
18,WR9 9JD
19,S7 2BJ
20,RG7 5JG
21,TQ12 5BW
22,TQ2 7QL
23,S10 1WJ
24,NP4 5AA
25,RG7 5JG
26,BD22 6LJ
27,N5 2ES
28,WR9 9JD
29,DA12 2BD
30,S10 1WJ
31,DA12 2BD
32,WR9 9JD
33,NP4 5AA
34,TQ2 7QL
35,DA12 2BD
36,DA12 2BD
37,S7 2BJ
38,RG7 5JG
39,S10 1WJ
40,TQ2 7QL
41,NP4 5AA
42,WR9 9JD
43,TQ12 5BW
44,RG7 5JG
45,NP4 5AA
46,TQ2 7QL
47,TQ2 7QL
48,BD22 6LJ
49,S7 2BJ
50,TQ12 5BW
51,S10 1WJ
52,S10 1WJ
53,BD22 6LJ
54,NP4 5AA
55,TQ12 5BW
56,RG7 5JG
57,RG7 5JG
58,DA12 2BD
59,TQ2 7QL
60,NP4 5AA
61,TQ2 7QL
62,TQ12 5BW
63,BD22 6LJ
64,RG7 5JG
65,TQ2 7QL
66,TQ12 5BW
67,RG7 5JG
68,WR9 9JD
69,S10 1WJ
70,BD22 6LJ
71,S7 2BJ
72,TQ12 5BW
73,DA12 2BD
74,DA12 2BD
75,S10 1WJ
76,N5 2ES
77,TQ12 5BW
78,S7 2BJ
79,RG7 5JG
80,TQ12 5BW
81,TQ2 7QL
82,DA12 2BD
83,WR9 9JD
84,S10 1WJ
85,S7 2BJ
86,TQ2 7QL
87,NP4 5AA
88,S7 2BJ
89,S7 2BJ
90,S7 2BJ
91,BD22 6LJ
92,S10 1WJ
93,WR9 9JD
94,TQ2 7QL
95,N5 2ES
96,RG7 5JG
97,WR9 9JD
98,N5 2ES
99,BD22 6LJ
100,NP4 5AA
101,DA12 2BD
102,TQ2 7QL
103,S10 1WJ
104,RG7 5JG
105,DA12 2BD
106,N5 2ES
107,S10 1WJ
108,S10 1WJ
109,NP4 5AA
110,DA12 2BD
111,S10 1WJ
112,BD22 6LJ
113,S7 2BJ
114,BD22 6LJ
115,TQ2 7QL
116,TQ2 7QL
117,NP4 5AA
118,BD22 6LJ
119,N5 2ES
120,TQ2 7QL
121,BD22 6LJ
122,TQ2 7QL
123,N5 2ES
124,DA12 2BD
125,S10 1WJ
126,S10 1WJ
127,DA12 2BD
128,S7 2BJ
129,DA12 2BD
130,BD22 6LJ
131,DA12 2BD
132,S7 2BJ
133,S7 2BJ
134,WR9 9JD
135,BD22 6LJ
136,WR9 9JD
137,WR9 9JD
138,TQ2 7QL
139,TQ2 7QL
140,S10 1WJ
141,RG7 5JG
142,RG7 5JG
143,DA12 2BD
144,WR9 9JD
145,TQ2 7QL
146,TQ12 5BW
147,TQ12 5BW
148,BD22 6LJ
149,DA12 2BD
150,TQ12 5BW
151,S10 1WJ
152,S7 2BJ
153,S10 1WJ
154,S10 1WJ
155,RG7 5JG
156,DA12 2BD
157,RG7 5JG
158,S7 2BJ
159,S7 2BJ
160,TQ2 7QL
161,DA12 2BD
162,TQ2 7QL
163,TQ12 5BW
164,BD22 6LJ
165,DA12 2BD
166,S10 1WJ
167,S10 1WJ
168,N5 2ES
169,TQ12 5BW
170,BD22 6LJ
171,WR9 9JD
172,N5 2ES
173,N5 2ES
174,DA12 2BD
175,RG7 5JG
176,DA12 2BD
177,WR9 9JD
178,DA12 2BD
179,S7 2BJ
180,S10 1WJ
181,S10 1WJ
182,N5 2ES
183,TQ12 5BW
184,WR9 9JD
185,WR9 9JD
186,WR9 9JD
187,S7 2BJ
188,S10 1WJ
189,DA12 2BD
190,TQ2 7QL
191,TQ12 5BW
192,RG7 5JG
193,BD22 6LJ
194,S7 2BJ
195,BD22 6LJ
196,S7 2BJ
197,N5 2ES
198,N5 2ES
199,NP4 5AA
200,DA12 2BD
201,WR9 9JD
202,BD22 6LJ
203,BD22 6LJ
204,S10 1WJ
205,DA12 2BD
206,TQ2 7QL
207,S10 1WJ
208,NP4 5AA
209,RG7 5JG
210,TQ12 5BW
211,BD22 6LJ
212,NP4 5AA
213,RG7 5JG
214,TQ12 5BW
215,TQ12 5BW
216,RG7 5JG
217,NP4 5AA
218,TQ12 5BW
219,BD22 6LJ
220,RG7 5JG
221,WR9 9JD
222,TQ12 5BW
223,WR9 9JD
224,S7 2BJ
225,S7 2BJ
226,TQ12 5BW
227,N5 2ES
228,RG7 5JG
229,NP4 5AA
230,NP4 5AA
231,BD22 6LJ
232,S7 2BJ
233,S10 1WJ
234,N5 2ES
235,DA12 2BD
236,N5 2ES
237,WR9 9JD
238,S10 1WJ
239,TQ12 5BW
240,S10 1WJ
241,BD22 6LJ
242,WR9 9JD
243,N5 2ES
244,TQ2 7QL
245,TQ12 5BW
246,N5 2ES
247,S10 1WJ
248,TQ2 7QL
249,S7 2BJ
250,BD22 6LJ
251,NP4 5AA
252,BD22 6LJ
253,TQ2 7QL
254,N5 2ES
255,BD22 6LJ
256,WR9 9JD
257,TQ12 5BW
258,N5 2ES
259,N5 2ES
260,TQ12 5BW
261,S10 1WJ
262,TQ2 7QL
263,BD22 6LJ
264,TQ2 7QL
265,N5 2ES
266,TQ2 7QL
267,WR9 9JD
268,TQ2 7QL
269,DA12 2BD
270,NP4 5AA
271,TQ2 7QL
272,S10 1WJ
273,NP4 5AA
274,DA12 2BD
275,S10 1WJ
276,TQ2 7QL
277,N5 2ES
278,S10 1WJ
279,BD22 6LJ
280,S7 2BJ
281,TQ2 7QL
282,DA12 2BD
283,NP4 5AA
284,WR9 9JD
285,DA12 2BD
286,WR9 9JD
287,DA12 2BD
288,DA12 2BD
289,S7 2BJ
290,WR9 9JD
291,S10 1WJ
292,S7 2BJ
293,S10 1WJ
294,TQ12 5BW
295,S7 2BJ
296,WR9 9JD
297,S7 2BJ
298,N5 2ES
299,N5 2ES
300,BD22 6LJ
301,TQ2 7QL
302,TQ12 5BW
303,N5 2ES
304,DA12 2BD
305,N5 2ES
306,DA12 2BD
307,NP4 5AA
308,RG7 5JG
309,N5 2ES
310,TQ2 7QL
311,TQ2 7QL
312,NP4 5AA
313,NP4 5AA
314,DA12 2BD
315,NP4 5AA
316,S7 2BJ
317,S7 2BJ
318,NP4 5AA
319,S10 1WJ
320,N5 2ES
321,TQ2 7QL
322,NP4 5AA
323,BD22 6LJ
324,N5 2ES
325,NP4 5AA
326,WR9 9JD
327,N5 2ES
328,BD22 6LJ
329,RG7 5JG
330,RG7 5JG
331,N5 2ES
332,NP4 5AA
333,DA12 2BD
334,N5 2ES
335,BD22 6LJ
336,TQ12 5BW
337,TQ12 5BW
338,RG7 5JG
339,TQ2 7QL
340,BD22 6LJ
341,BD22 6LJ
342,RG7 5JG
343,RG7 5JG
344,BD22 6LJ
345,RG7 5JG
346,BD22 6LJ
347,NP4 5AA
348,TQ2 7QL
349,NP4 5AA
350,N5 2ES
351,WR9 9JD
352,NP4 5AA
353,BD22 6LJ
354,TQ2 7QL
355,RG7 5JG
356,TQ12 5BW
357,S7 2BJ
358,TQ12 5BW
359,TQ2 7QL
360,RG7 5JG
361,S7 2BJ
362,RG7 5JG
363,S10 1WJ
364,S7 2BJ
365,BD22 6LJ
366,N5 2ES
367,TQ2 7QL
368,RG7 5JG
369,N5 2ES
370,S10 1WJ
371,S7 2BJ
372,S7 2BJ
373,NP4 5AA
374,BD22 6LJ
375,WR9 9JD
376,S10 1WJ
377,WR9 9JD
378,N5 2ES
379,WR9 9JD
380,RG7 5JG
381,NP4 5AA
382,WR9 9JD
383,WR9 9JD
384,WR9 9JD
385,RG7 5JG
386,BD22 6LJ
387,N5 2ES
388,NP4 5AA
389,S7 2BJ
390,DA12 2BD
391,TQ2 7QL
392,RG7 5JG
393,RG7 5JG
394,WR9 9JD
395,RG7 5JG
396,RG7 5JG
397,S7 2BJ
398,WR9 9JD
399,S7 2BJ
400,BD22 6LJ
401,S7 2BJ
402,S10 1WJ
403,TQ2 7QL
404,N5 2ES
405,TQ12 5BW
406,RG7 5JG
407,RG7 5JG
408,WR9 9JD
409,S7 2BJ
410,TQ2 7QL
411,TQ12 5BW
412,BD22 6LJ
413,BD22 6LJ
414,WR9 9JD
415,TQ12 5BW
416,S10 1WJ
417,DA12 2BD
418,WR9 9JD
419,N5 2ES
420,N5 2ES
421,TQ12 5BW
422,WR9 9JD
423,S10 1WJ
424,WR9 9JD
425,DA12 2BD
426,WR9 9JD
427,TQ12 5BW
428,N5 2ES
429,S7 2BJ
430,RG7 5JG
431,DA12 2BD
432,DA12 2BD
433,DA12 2BD
434,TQ2 7QL
435,DA12 2BD
436,RG7 5JG
437,N5 2ES
438,RG7 5JG
439,RG7 5JG
440,RG7 5JG
441,TQ12 5BW
442,N5 2ES
443,WR9 9JD
444,WR9 9JD
445,S10 1WJ
446,N5 2ES
447,NP4 5AA
448,N5 2ES
449,DA12 2BD
450,TQ2 7QL
451,S7 2BJ
452,N5 2ES
453,NP4 5AA
454,TQ12 5BW
455,DA12 2BD
456,S7 2BJ
457,TQ12 5BW
458,TQ2 7QL
459,TQ12 5BW
460,WR9 9JD
461,TQ2 7QL
462,WR9 9JD
463,BD22 6LJ
464,TQ12 5BW
465,BD22 6LJ
466,S7 2BJ
467,NP4 5AA
468,WR9 9JD
469,TQ12 5BW
470,S10 1WJ
471,TQ12 5BW
472,TQ2 7QL
473,NP4 5AA
474,NP4 5AA
475,TQ12 5BW
476,WR9 9JD
477,RG7 5JG
478,N5 2ES
479,DA12 2BD
480,DA12 2BD
481,BD22 6LJ
482,TQ12 5BW
483,N5 2ES
484,RG7 5JG
485,N5 2ES
486,NP4 5AA
487,S10 1WJ
488,S7 2BJ
489,BD22 6LJ
490,BD22 6LJ
491,BD22 6LJ
492,WR9 9JD
493,N5 2ES
494,RG7 5JG
495,N5 2ES
496,DA12 2BD
497,BD22 6LJ
498,TQ12 5BW
499,BD22 6LJ
500,NP4 5AA
